field_id,date,ndvi_value,source
1,2024-01-15,0.65,Sentinel-2
1,2024-02-15,0.72,Sentinel-2
1,2024-03-15,0.78,Sentinel-2
1,2024-04-15,0.81,Sentinel-2
1,2024-05-15,0.75,Sentinel-2
2,2024-01-15,0.58,Sentinel-2
2,2024-02-15,0.68,Sentinel-2
2,2024-03-15,0.74,Sentinel-2
2,2024-04-15,0.79,Sentinel-2
2,2024-05-15,0.77,Sentinel-2
3,2024-01-15,0.70,Sentinel-2
3,2024-02-15,0.76,Sentinel-2
3,2024-03-15,0.82,Sentinel-2
3,2024-04-15,0.85,Sentinel-2
3,2024-05-15,0.83,Sentinel-2
4,2024-01-15,0.62,Sentinel-2
4,2024-02-15,0.69,Sentinel-2
4,2024-03-15,0.75,Sentinel-2
4,2024-04-15,0.78,Sentinel-2
4,2024-05-15,0.76,Sentinel-2
5,2024-01-15,0.60,Sentinel-2
5,2024-02-15,0.67,Sentinel-2
5,2024-03-15,0.73,Sentinel-2
5,2024-04-15,0.77,Sentinel-2
5,2024-05-15,0.74,Sentinel-2
